组	来源	对象	证据	载体	原文
R303	退役片段	间记账机制）没定」是同一个洞的两半|2026-	.claude/kb/checks-owed.md 删掉：| C145 | deadlist 在盘上没有落点 | **D5（快照 / 空间记账机制） 逐字「每个可写头各持一份 `previous_snapshot_txg` **与一份 deadlist**」（`:129`）、「建快照时把**活头的 deadlist 整个交接给新快照**，活头换一个空的」（`:8`），而 deadlist 是哪棵树、树 ID 怎么挂到头 / 快照、第一个事务建不建空的——全仓一处都没定。**2026-09-06 的 ③ 只给了 `previous_snapshot_txg` 一个落点，交接语义要求快照条目也要能指到一份 deadlist | 造一个「建快照 → 崩在交 ⟶ 新加：| C145 | deadlist 在盘上没有落点 | **2026-09-16 D5（快照 / 空间记账机制） 已定项 12 定了条目形态（key = 头的树 ID 8 + 纪元 8 + 中央映射 key 27，value 空；条目按纪元分段，交接不搬条目），仍欠的是检查。原洞：** **D5（快照 / 空间记账机制） 逐字「每个可写头各持一份 `previous_snapshot_txg` **与一份 deadlist**」（`:129`）、「建快照时把**活头的 deadlist 整个交接给新快照**，活头换一个空的」（`:8`），而 deadlist 是哪棵树、树 ID 怎么挂到头 /	.claude/kb/tooling.md:140	⚠️ **这跟「已知毛病四：实词自复读，闸曾经故意不查」是同一个洞的两端**：
R304	退役片段	闸曾经故意不查它（短虚词的自	.claude/rules/three-way-inference.md 删掉：闸曾经故意不查它（短虚词的自复读在正常英文里合法），2026-09-06 收窄到长实词后补上； ⟶ 新加：闸只查长实词（短虚词的自复读在正常英文里合法），不收窄就误报；	.claude/kb/tooling.md:140	⚠️ **这跟「已知毛病四：实词自复读，闸曾经故意不查」是同一个洞的两端**：
R304	退役片段	闸曾经故意不查它（短虚词的自	.claude/rules/three-way-inference.md 删掉：闸曾经故意不查它（短虚词的自复读在正常英文里合法），2026-09-06 收窄到长实词后补上； ⟶ 新加：闸只查长实词（短虚词的自复读在正常英文里合法），不收窄就误报；	.claude/kb/tooling.md:97	### 已知毛病四：**实词自复读**，闸曾经故意不查（2026-09-06 观测到并修）
R305	退役片段	项14的前缀五条口径按事务施加，	.claude/kb/checks-owed.md 删掉：| C284 | 施加一条记录在指针层上做什么没有定义 | **D23（journal 的角色与格式） 已定项 14 的前缀五条口径按事务施加，前缀可以落在同一次发布的两个事务之间（E42（一事务几条记录） 那种切法）；而「施加一条记录」在指针层上具体做什么——换哪个指针、祖先谁来 COW、落点谁分配——全仓没有定义。** D23（journal 的角色与格式） 开篇「重放不要分配器」与「只施加一部分事务就要重新生成祖先」互相顶着；D13（验证路线）「核对一条记录只需格式解析 + 校验和 + 根环择新」管的是验记录，不是算期望态。记录核对器的范围与成本（D16（发布语义） 已定项 4）由它决定 ⟶ 新加：| C284 | 施加一条记录在指针层上做什么没有定义 | **D23（journal 的角色与格式） 已定项 14 的前缀口径（2026-09-13 起六条）按事务施加，前缀可以落在同一次发布的两个事务之间（E42（一事务几条记录） 那种切法）；而「施加一条记录」在指针层上具体做什么——换哪个指针、祖先谁来 COW、落点谁分配——全仓没有定义。** D23（journal 的角色与格式） 开篇「重放不要分配器」与「只施加一部分事务就要重新生成祖先」互相顶着；D13（验证路线）「核对一条记录只需格式解析 + 校验和 + 根环择新」管的是验记录，不是算期望态。记录核对器的范围与成本（D16（发布	.claude/kb/decisions/16-发布语义.md:239	> 前缀五条口径按事务施加，前缀可以落在同一次发布的两个事务之间（E42（一事务几条记录） 那种切法）；
R306	退役片段	项1的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。	.claude/kb/decisions/28-挂载期承诺量.md 删掉：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。D16（发布语义） 已定项 1 的推空保留池 10 + 7 c_max 与 D16（发布语义） 已定项 8 的切换预留都按同一个现算的 c_max 取。 ⟶ 新加：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；单位是 16 KiB 元数据块，代进已定项 1 那条按字节写的式子时乘 16384（式子里的「已分配」是「已分配字节」、「容量」是单元区大小，D5（快照 / 空间记账机制） 已定项 7）；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「**括号里的六项（含挂	.claude/kb/decisions/28-挂载期承诺量.md:100	**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；单位是 16 KiB 元数据块，代进已定项 1 那条按字节写的式子时乘 16384（式子里的「已分配」是「已分配字节」、「容量」是单元区大小，D5（快照 / 空间记账机制） 已定项 7）；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「**括号里的六项（含挂载期承诺量里的切换预留、被抛弃根独占量）按设备求和，后三项——待删占用、已承诺预留、checkpoint 保留池——不按**」里它落在后三项那一侧）。D16（发布语义） 已定项 1 的推空保留池 10
R306	退役片段	项1的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。	.claude/kb/decisions/28-挂载期承诺量.md 删掉：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。D16（发布语义） 已定项 1 的推空保留池 10 + 7 c_max 与 D16（发布语义） 已定项 8 的切换预留都按同一个现算的 c_max 取。 ⟶ 新加：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；单位是 16 KiB 元数据块，代进已定项 1 那条按字节写的式子时乘 16384（式子里的「已分配」是「已分配字节」、「容量」是单元区大小，D5（快照 / 空间记账机制） 已定项 7）；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「**括号里的六项（含挂	.claude/kb/decisions/28-挂载期承诺量.md:49	⚠️ **括号里的六项（含挂载期承诺量里的切换预留、被抛弃根独占量）按设备求和，后三项——待删占用、已承诺预留、checkpoint 保留池——不按**——括号里的是物理量（一块盘满了不能靠别的盘补），
R306	退役片段	项1的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。	.claude/kb/decisions/28-挂载期承诺量.md 删掉：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「前四项按设备求和，后两项不按」里它落后两项那一侧）。D16（发布语义） 已定项 1 的推空保留池 10 + 7 c_max 与 D16（发布语义） 已定项 8 的切换预留都按同一个现算的 c_max 取。 ⟶ 新加：**形态**：ckpt_cost = Σ（每棵记录树当前的高）+ 记账树每发布的节点数，每次发布按当时的树高重算；单位是 16 KiB 元数据块，代进已定项 1 那条按字节写的式子时乘 16384（式子里的「已分配」是「已分配字节」、「容量」是单元区大小，D5（快照 / 空间记账机制） 已定项 7）；E148（提交固定点按两棵记录树重算） 在池规模两棵记录树、提交块聚簇下是 3 + 4 + 2 = 9 块、与用户块数无关，第一个事务规模 4 块；它是运行时算出的量，盘上没有字段。归属：并进已定项 1 的「挂载期承诺量」那一项，作池级一项、不按设备求和（已定项 1 的分界「**括号里的六项（含挂	records/2026-09-13-未定项总清单与待用户定案.md:28	| 5 | D28（挂载期承诺量） 已定项 4 checkpoint 保留池 | 9 块（池规模、提交块聚簇、两棵记录树；第一个事务 4 块）算不算 ckpt_cost 的上界；算不算挂载期承诺量——并进已定项 1 那一项按设备求和，还是另开一项 | E148：只聚簇提交块 59 块，全散布 13.8 万（无可用上界）；分裂合并、条带成员表、livelist 没进模型 | 实现后记固定点轮数的那半 C83 仍欠 |
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/checks-owed.md:264	| C283 | 准入失败时不先推发布就报 ENOSPC | **D3（空间分配） 已定项 9（2026-09-11 用户定案）：`df` 报出 s 字节空闲，写 s 字节就必须成功；删掉 s 字节之后同样大小的写在有界步数内成功。今天没有任何条款、任何检查兑现它**：刚释放的块要等若干次发布之后才回可分配集合（D16（发布语义） 新规则 2 与 I-7.4（近 K 代块未被复用）），全仓没有一条写「准入不够时先把扣住的放回来，再判 ENOSPC」；空闲时按 D16（发布语义） 已定项 2 每 5 秒才发布一次。⚠️ **推发布兑不兑现得了，取决于 `df` 报什么**：推空时每次空发布自己释放的块也要等 N 次发布，剩余空间 < N × 空发布开销 + 保留池 + 一次写时推不出空间，E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次假性 ENOSPC——那是 
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:108	正文见 D16（发布语义）「已定项 1」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:111	正文见 D16（发布语义）「已定项 4」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:114	正文见 D16（发布语义）「已定项 6」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:117	正文见 D16（发布语义）「已定项 7」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:119	正文见 D16（发布语义）「已定项 3」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:136	两个阈值的取值见 D16（发布语义）「已定项 5」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:190	正文见 D16（发布语义）「已定项 8」。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:192	9. **一次空发布写不写单元（2026-09-13，用户定案）：记账树存在时就写：空发布也是发布，按 D5（快照 / 空间记账机制） 已定项 2「每行每发布重写」重写记账行，连带记账树节点、分配记录、映射条目与树表单元；第一次可写挂载的暖机时树表 0 条 ⇒ 零单元；以后的空发布按 D28（挂载期承诺量） 已定项 4 现算的 c_max 块。** 正文见 D16（发布语义）「已定项 9」。 **状态：已定。**
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:419	四轮三方论证（第四轮 `research/prompts/d16-item1-r4-main-verification.md`）；E135（动态回退下界）、E138（按盘回退下界与推空的空间要求） 两轮前身；用户 2026-09-11、09-12、09-13 三次定案。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/decisions/16-发布语义.md:68	- **它同时钉死 D11（索引节点要不要留消息缓冲区） 的对照组**，见 D16（发布语义）「这条定案改变了什么」一节。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments.md:153	| E135（动态回退下界） | 已跑（2026-09-11，计数模型，12 单测 / 8 条变异全抓） | 整环与回退下界全部故障世界零假候选；近满盘回退下界省强制发布、可退只剩约 8 代，开销 5 块时卡死 | [135-动态回退下界.md](experiments/135-动态回退下界.md) |
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments/135-动态回退下界.md:1	## E135 动态回退下界 —— 已跑（2026-09-11，判据跑前写死、跑前补登五条、跑完没改；12 单测 / 8 条变异全抓，N=5 轮 md5 一致）：**整环与动态回退下界在全部故障世界零假候选，三条对照各在靶子世界里抓到；近满盘上回退下界把强制发布压到约十一分之一，代价是可退代数平均只剩 8 代，且空发布开销 5 块时补满阶段全部卡死**
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments/135-动态回退下界.md:106	假性 ENOSPC（口径：`df` = 没用过的 + 已释放的，扣住的块与保留池都算空闲）只在一格非零：空发布开销 5 块、S = 16 时臂 A（与按算术取最旧根的对照臂 B）各 24 次——推空把它压成偶发，没压到零；臂 D 那一格没进计数阶段，读数不算 0。其余各格都是 0，真 ENOSPC 全部是 0。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments/135-动态回退下界.md:144	S = 16、空发布开销 1 块时臂 A 约 4.9 个不同状态、臂 D 约 4.4 个；开销 5 块时臂 A 约 1.0 个（D16（发布语义） 已定项 1 第二轮反推腿指出）。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments/135-动态回退下界.md:84	- **判据 6（盘满）触发，臂 D 在盘满那一格输一次**：空发布开销 5 块、S = 16 时，臂 D 的 24 个种子全部在补满阶段卡死，臂 A 一次都没有。
R307	退役片段	（E135（动态回退下界）产物S=16、空发布开销5块时24次；判别式与副本逐格一致，见D16（发布	.claude/kb/decisions/03-空间分配.md 删掉：（E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次；判别式与副本逐格一致，见 D16（发布语义） 已定项 1 第二轮判决）。 ⟶ 新加：- 第 2 条的「有界步数」按 D16（发布语义） 已定项 1 选定的臂计：那一节的准入行逐字「准入不够时先推空发布抬 F（写行那次发布之前不推：它是新实例的第一次发布，元数据走切换预留，同一次发布里的用户数据重做照走准入、不够返回 ENOSPC；2026-09-14 用户定案，C329（写行那次发布之前推抬 F 的空发布没有检查） 三轮三方），一次准入最多 B = 4 + 2 k_tol 次发布（k_tol = 2 ⇒ 8），做满仍不够才报 ENOSPC」，E139（按盘回退下界的收严形态） 实测最大 7 ≤ 8。	.claude/kb/experiments/138-按盘回退下界与推空的空间要求.md:102	读法：`hidden_blocks` = 保留池 + 推空最坏残留，是 `df` 比 E135（动态回退下界） 的口径少报的块数（`hidden_bytes` 按一块 16 KiB 折）；
